Comic_Title,Publisher,Issue_Num,Published_Date
Before Watchmen: Silk Spectre,DC Comics,4A,"January, 2013"
Before Watchmen: Silk Spectre,DC Comics,3A,"November, 2012"
Before Watchmen: Silk Spectre,DC Comics,2A,"September, 2012"
Bitch Planet (2014-Present),Image Comics,1A,"December, 2014"
Bitch Planet (2014-Present),Image Comics,2A,"January, 2015"
Black Dynamite (2014),IDW Publishing,4,"November, 2014"
Black Market (2014),BOOM! Studios,2,"August, 2014"
Black Market (2014),BOOM! Studios,1A,"July, 2014"
Black Market (2014),BOOM! Studios,4,"October, 2014"
Black Market (2014),BOOM! Studios,3,"September, 2014"
Black Science (2013-Present),Image Comics,5,"April, 2014"
Black Science (2013-Present),Image Comics,6,"April, 2014"
Black Science (2013-Present),Image Comics,8,"August, 2014"
Black Science (2013-Present),Image Comics,2A,"December, 2013"
Black Science (2013-Present),Image Comics,4A,"February, 2014"
Black Science (2013-Present),Image Comics,3A,"January, 2014"
Black Science (2013-Present),Image Comics,7A,"July, 2014"
Black Science (2013-Present),Image Comics,1B,"November, 2013"
Blackest Night (2009-2010),DC Comics,7A,"April, 2010"
Blackest Night (2009-2010),DC Comics,4A,"December, 2009"
Blackest Night (2009-2010),DC Comics,6A,"February, 2010"
Blackest Night (2009-2010),DC Comics,5A,"January, 2010"
Blackest Night (2009-2010),DC Comics,8A,"May, 2010"
Blackest Night (2009-2010),DC Comics,3A,"November, 2009"
Blackest Night (2009-2010),DC Comics,2A,"October, 2009"
Blackest Night (2009-2010),DC Comics,1A,"September, 2009"
Bounce (2013-2014),Image Comics,1A,"May, 2013"
Brave and the Bold (1955-1983),DC Comics,111,"March, 1974"
Brave and the Bold (1955-1983),DC Comics,92,"November, 1970"
Brightest Day (2010-2011),DC Comics,19A,"Early April, 2011"
Brightest Day (2010-2011),DC Comics,3A,"Early August, 2010"
Brightest Day (2010-2011),DC Comics,11A,"Early December, 2010"
Brightest Day (2010-2011),DC Comics,15A,"Early February, 2011"
Brightest Day (2010-2011),DC Comics,13A,"Early January, 2011"
Brightest Day (2010-2011),DC Comics,1A,"Early July, 2010"
Brightest Day (2010-2011),DC Comics,23A,"Early June, 2011"
Brightest Day (2010-2011),DC Comics,17A,"Early March, 2011"
Brightest Day (2010-2011),DC Comics,21A,"Early May, 2011"
Brightest Day (2010-2011),DC Comics,9A,"Early November, 2010"
Brightest Day (2010-2011),DC Comics,7A,"Early October, 2010"
Brightest Day (2010-2011),DC Comics,5A,"Early September, 2010"
Brightest Day (2010-2011),DC Comics,14A,"January, 2011"
Brightest Day (2010-2011),DC Comics,0A,"June, 2010"
Brightest Day (2010-2011),DC Comics,20A,"Late April, 2011"
Brightest Day (2010-2011),DC Comics,4A,"Late August, 2010"
Brightest Day (2010-2011),DC Comics,12A,"Late December, 2010"
Brightest Day (2010-2011),DC Comics,16A,"Late February, 2011"
Brightest Day (2010-2011),DC Comics,2A,"Late July, 2010"
Brightest Day (2010-2011),DC Comics,24A,"Late June, 2011"
Brightest Day (2010-2011),DC Comics,18A,"Late March, 2011"
Brightest Day (2010-2011),DC Comics,22A,"Late May, 2011"
Brightest Day (2010-2011),DC Comics,10A,"Late November, 2010"
Brightest Day (2010-2011),DC Comics,8A,"Late October, 2010"
Brightest Day (2010-2011),DC Comics,6A,"Late September, 2010"
C.O.W.L. (2014-Present),Image Comics,1A,"May, 2014"
Cable & Deadpool (2004-2008),Marvel Comics,1C,"July, 2011"
Cable and X-Force (2012-2014),Marvel Comics,4A,"April, 2013"
Cable and X-Force (2012-2014),Marvel Comics,1A,"February, 2013"
Cable and X-Force (2012-2014),Marvel Comics,2A,"February, 2013"
Cable and X-Force (2012-2014),Marvel Comics,3A,"March, 2013"
Captain America (1968-1996),Marvel Comics,100,"April, 1968"
Captain America (1968-1996),Marvel Comics,392B,"Late September, 1991"
Captain America (1968-1996),Marvel Comics,107,"November, 1968"
Captain America (1968-1996),Marvel Comics,117,"September, 1969"
Captain America (1968-1996),Marvel Comics,Annual 8B,"September, 1986"
Captain America (2005-2011),Marvel Comics,25A,"April, 2007"
Captain America (2005-2011),Marvel Comics,1A,"January, 2005"
Captain America (2011-2012),Marvel Comics,19A,"December, 2012"
Captain America (2012-2014),Marvel Comics,4A,"April, 2013"
Captain America (2012-2014),Marvel Comics,8A,"August, 2013"
Captain America (2012-2014),Marvel Comics,2A,"February, 2013"
Captain America (2012-2014),Marvel Comics,1A,"January, 2013"
Captain America (2012-2014),Marvel Comics,7,"July, 2013"
Captain America (2012-2014),Marvel Comics,6A,"June, 2013"
Captain America (2012-2014),Marvel Comics,3A,"March, 2013"
Captain America (2012-2014),Marvel Comics,5A,"May, 2013"
Captain America (2012-2014),Marvel Comics,9,"September, 2013"
Captain Marvel (2014-2016),Marvel Comics,14A,"June, 2015"
Catwoman (2011-Present),DC Comics,14,"January, 2013"
Catwoman (2011-Present),DC Comics,18,"May, 2013"
Catwoman (2011-Present),DC Comics,23A,"October, 2013"
Chew (2009-2016),Image Comics,TP Vol 2,"June, 2009"
Chew (2009-2016),Image Comics,TP Vol 3,"November, 2009"
Chew (2009-2016),Image Comics,TP Vol 1,"November, 2009"
Chin Music,Image Comics,1A,"May, 2013"
Chrononauts (2015),Image Comics,1A,"March, 2015"
Civil War (2006-2007),Marvel Comics,2A,"August, 2006"
Civil War (2006-2007),Marvel Comics,6A,"December, 2006"
Civil War (2006-2007),Marvel Comics,7A,"January, 2007"
Civil War (2006-2007),Marvel Comics,7A,"January, 2007"
Civil War (2006-2007),Marvel Comics,1A,"July, 2006"
Civil War (2006-2007),Marvel Comics,5A,"November, 2006"
Civil War (2006-2007),Marvel Comics,4A,"October, 2006"
Civil War (2006-2007),Marvel Comics,3A,"September, 2006"
Civil War (2006-2007),Marvel Comics,3A,"September, 2006"
Civil War (2015),Marvel Comics,5A,"December, 2015"
Civil War (2015),Marvel Comics,3A,"November, 2015"
Civil War (2015),Marvel Comics,4,"November, 2015"
Civil War (2015),Marvel Comics,2A,"October, 2015"
Civil War (2015),Marvel Comics,1C,"September, 2015"
Classic X-Men (1986-1990),Marvel Comics,34A,"June, 1989"
Classic X-Men (1986-1990),Marvel Comics,7B,"March, 1987"
Classic X-Men (1986-1990),Marvel Comics,3B,"November, 1986"
Classic X-Men (1986-1990),Marvel Comics,2,"October, 1986"
Classic X-Men (1986-1990),Marvel Comics,1,"September, 1986"
Clone (2012-2014),Image Comics,1A,"November, 2012"
Conan the Barbarian (1970-1993),Marvel Comics,165A,"December, 1984"
Cyclops (2014-Present),Marvel Comics,12A,"June, 2015"
Dakota North (1986-1987),Marvel Comics,3,"October, 1986"
Damage Control (1989),Marvel Comics,4A,"August, 1989"
Damage Control (1989),Marvel Comics,3,"July, 1989"
Damage Control (1989),Marvel Comics,2A,"June, 1989"
Damage Control (1989),Marvel Comics,1A,"May, 1989"
Damage Control (1989-1990),Marvel Comics,1A,"December, 1989"
Damage Control (1989-1990),Marvel Comics,2,"December, 1989"
Damage Control (1989-1990),Marvel Comics,4A,"February, 1990"
Damage Control (1989-1990),Marvel Comics,3,"January, 1990"
Daredevil (1964-1998),Marvel Comics,7,"April, 1965"
Daredevil (1964-1998),Marvel Comics,181A,"April, 1982"
Daredevil (1964-1998),Marvel Comics,43,"August, 1968"
Daredevil (1964-1998),Marvel Comics,269B,"August, 1989"
Daredevil (1964-1998),Marvel Comics,189B,"December, 1982"
Daredevil (1964-1998),Marvel Comics,179B,"February, 1982"
Daredevil (1964-1998),Marvel Comics,191B,"February, 1983"
Daredevil (1964-1998),Marvel Comics,168B,"January, 1981"
Daredevil (1964-1998),Marvel Comics,18,"July, 1966"
Daredevil (1964-1998),Marvel Comics,165,"July, 1980"
Daredevil (1964-1998),Marvel Comics,172B,"July, 1981"
Daredevil (1964-1998),Marvel Comics,184B,"July, 1982"
Daredevil (1964-1998),Marvel Comics,268B,"July, 1989"
Daredevil (1964-1998),Marvel Comics,8,"June, 1965"
Daredevil (1964-1998),Marvel Comics,17,"June, 1966"
Daredevil (1964-1998),Marvel Comics,183B,"June, 1982"
Daredevil (1964-1998),Marvel Comics,131A,"March, 1976"
Daredevil (1964-1998),Marvel Comics,169,"March, 1981"
Daredevil (1964-1998),Marvel Comics,16,"May, 1966"
Daredevil (1964-1998),Marvel Comics,164A,"May, 1980"
Daredevil (1964-1998),Marvel Comics,218B,"May, 1985"
Daredevil (1964-1998),Marvel Comics,176A,"November, 1981"
Daredevil (1964-1998),Marvel Comics,176A,"November, 1981"
Daredevil (1964-1998),Marvel Comics,188B,"November, 1982"
Daredevil (1964-1998),Marvel Comics,236B,"November, 1986"
Daredevil (1964-1998),Marvel Comics,4,"October, 1964"
Daredevil (1964-1998),Marvel Comics,175B,"October, 1981"
Daredevil (1964-1998),Marvel Comics,Annual 5B,"October, 1989"
Daredevil (1964-1998),Marvel Comics,174B,"September, 1981"
Daredevil (1998-2011),Marvel Comics,500A,"October, 2009"
Daredevil (2011-2014),Marvel Comics,23,"April, 2013"
Daredevil (2011-2014),Marvel Comics,27,"August, 2013"
Daredevil (2011-2014),Marvel Comics,21A,"February, 2013"
Daredevil (2011-2014),Marvel Comics,26A,"July, 2013"
Daredevil (2011-2014),Marvel Comics,25A,"June, 2013"
Daredevil (2011-2014),Marvel Comics,22A,"March, 2013"
Daredevil (2011-2014),Marvel Comics,11D,"May, 2012"
Daredevil (2011-2014),Marvel Comics,24,"May, 2013"
Daredevil (2011-2014),Marvel Comics,30,"October, 2013"
Daredevil (2011-2014),Marvel Comics,28,"September, 2013"
Daredevil (2011-2014),Marvel Comics,29,"September, 2013"
Dark Avengers (2009-2010),Marvel Comics,1A,"March, 2009"
Dark Knight III: The Master Race (2016- Present) ,DC Comics,1ZZZ,"January, 2016"
Dark Knight III: The Master Race (2016- Present) ,DC Comics,1ZO,"January, 2016"
Darkhawk (1991-1995),Marvel Comics,25,"March, 1993"
Day Men (2013-Present),BOOM! Studios,2B,"December, 2013"
Day Men (2013-Present),BOOM! Studios,1C,"July, 2013"
Day Men (2013-Present),BOOM! Studios,4,"July, 2014"
Day Men (2013-Present),BOOM! Studios,3A,"March, 2014"
Day Men (2013-Present),BOOM! Studios,5A,"November, 2014"
DC Comics Presents (1978-1986),DC Comics,47A,"July, 1982"
DC Comics Presents (1978-1986),DC Comics,26A,"October, 1980"
DC Versus Marvel (1996),DC Comics/Marvel Comics,3B,"April, 1996"
DC Versus Marvel (1996),DC Comics/Marvel Comics,1A,"February, 1996"
DC Versus Marvel (1996),DC Comics/Marvel Comics,2B,"March, 1996"
DC Versus Marvel (1996),DC Comics/Marvel Comics,4B,"May, 1996"
Dead Body Road (2013-2014),Image Comics,1A,"December, 2013"
Deadly Class (2014-Present),Image Comics,1A,"January, 2014"
Deadpool (1997-2002),Marvel Comics,11B,"December, 1997"
Deadpool (1997-2002),Marvel Comics,1,"January, 1997"
Deadpool (2012-2015),Marvel Comics,12,"August, 2013"
Deadpool (2012-2015),Marvel Comics,1A,"January, 2013"
Deadpool (2012-2015),Marvel Comics,10,"July, 2013"
Deadpool (2012-2015),Marvel Comics,Annual 2,"July, 2014"
Deadpool (2016-Present),Marvel Comics,6A,"March, 2016"
Deadpool Killustrated,Marvel Comics,2A,"April, 2013"
Deadpool Killustrated,Marvel Comics,4,"June, 2013"
Deadpool Killustrated,Marvel Comics,1A,"March, 2013"
Deadpool Killustrated,Marvel Comics,3A,"May, 2013"
Deadpool vs Thanos,Marvel Comics,3A,"December, 2015"
Deadpool vs Thanos,Marvel Comics,1A,"November, 2015"
Deadpool vs Thanos,Marvel Comics,2A,"November, 2015"
Deadpool: The Gauntlet (2014),Marvel Comics,1,"March, 2014"
Deadpool's Secret Secret Wars (2015),Marvel Comics,1E,"July, 2015"
Death of Wolverine (2014),Marvel Comics,3A,"December, 2014"
Death of Wolverine (2014),Marvel Comics,4A,"December, 2014"
Death of Wolverine (2014),Marvel Comics,1F,"November, 2014"
Death of Wolverine (2014),Marvel Comics,2A,"November, 2014"
Death of Wolverine (2014),Marvel Comics,1A,"November, 2014"
Deathstroke (2014-2016),DC Comics,1A,"December, 2014"
Detective Comics #27 Special Edition (2014),DC Comics,1,"August, 2014"
"Detective Comics (1937-2011, 2016-Present)",DC Comics,378,"August, 1968"
"Detective Comics (1937-2011, 2016-Present)",DC Comics,577,"August, 1987"
"Detective Comics (1937-2011, 2016-Present)",DC Comics,437,"November, 1973"
"Detective Comics (1937-2011, 2016-Present)",DC Comics,451,"September, 1975"
Detective Comics (2011-2016),DC Comics,6A,"April, 2012"
Detective Comics (2011-2016),DC Comics,17A,"April, 2013"
Detective Comics (2011-2016),DC Comics,10A,"August, 2012"
Detective Comics (2011-2016),DC Comics,21A,"August, 2013"
Detective Comics (2011-2016),DC Comics,2,"December, 2011"
Detective Comics (2011-2016),DC Comics,2,"December, 2011"
Detective Comics (2011-2016),DC Comics,13B,"December, 2012"
Detective Comics (2011-2016),DC Comics,4,"February, 2012"
Detective Comics (2011-2016),DC Comics,4,"February, 2012"
Detective Comics (2011-2016),DC Comics,15B,"February, 2013"
Detective Comics (2011-2016),DC Comics,3,"January, 2012"
Detective Comics (2011-2016),DC Comics,3,"January, 2012"
Detective Comics (2011-2016),DC Comics,14A,"January, 2013"
Detective Comics (2011-2016),DC Comics,9A,"July, 2012"
Detective Comics (2011-2016),DC Comics,20A,"July, 2013"
Detective Comics (2011-2016),DC Comics,8A,"June, 2012"
Detective Comics (2011-2016),DC Comics,19A,"June, 2013"
Detective Comics (2011-2016),DC Comics,5A,"March, 2012"
Detective Comics (2011-2016),DC Comics,5A,"March, 2012"
Detective Comics (2011-2016),DC Comics,16A,"March, 2013"
Detective Comics (2011-2016),DC Comics,7A,"May, 2012"
Detective Comics (2011-2016),DC Comics,18B,"May, 2013"
Detective Comics (2011-2016),DC Comics,1B,"November, 2011"
Detective Comics (2011-2016),DC Comics,0B,"November, 2012"
Detective Comics (2011-2016),DC Comics,23.2A,"November, 2013"
Detective Comics (2011-2016),DC Comics,23.1A,"November, 2013"
Detective Comics (2011-2016),DC Comics,23.3A,"November, 2013"
Detective Comics (2011-2016),DC Comics,Annual 1B,"October, 2012"
Detective Comics (2011-2016),DC Comics,12A,"October, 2012"
Detective Comics (2011-2016),DC Comics,11A,"September, 2012"
Dia De Los Muertos (2013),Image Comics,1,"February, 2013"
Divergence (FCBD 2015),DC Comics,1A,"June, 2015"
Doctor Strange (1968-1969),Marvel Comics,179,"April, 1969"
Doctor Strange (2015-Present),Marvel Comics,1A,"December, 2015"
Doomsday.1 (2013),IDW Publishing,2,"June, 2013"
Doomsday.1 (2013),IDW Publishing,1A,"May, 2013"
Drax (2016-Present),Marvel Comics,1A,"January, 2016"
Dream Merchant (2013-2014),Image Comics,1,"May, 2013"
East of West (2013-Present),Image Comics,2A,"April, 2013"
East of West (2013-Present),Image Comics,5,"August, 2013"
East of West (2013-Present),Image Comics,8,"December, 2013"
East of West (2013-Present),Image Comics,9,"January, 2014"
East of West (2013-Present),Image Comics,4A,"July, 2013"
East of West (2013-Present),Image Comics,3A,"June, 2013"
East of West (2013-Present),Image Comics,1A,"March, 2013"
East of West (2013-Present),Image Comics,1A,"March, 2013"
East of West (2013-Present),Image Comics,10,"March, 2014"
East of West (2013-Present),Image Comics,7,"November, 2013"
East of West (2013-Present),Image Comics,HC Vol 1A,"October, 2013"
East of West (2013-Present),Image Comics,6,"September, 2013"
Edge of Spider-Verse (2014),Marvel Comics,4A,"December, 2014"
Edge of Spider-Verse (2014),Marvel Comics,5A,"December, 2014"
Edge of Spider-Verse (2014),Marvel Comics,2A,"November, 2014"
Edge of Spider-Verse (2014),Marvel Comics,2A,"November, 2014"
Edge of Spider-Verse (2014),Marvel Comics,2A,"November, 2014"
Edge of Spider-Verse (2014),Marvel Comics,1A,"November, 2014"
Edge of Spider-Verse (2014),Marvel Comics,3A,"November, 2014"
Excalibur (1988-1998),Marvel Comics,14,"November, 1989"
Excalibur (1988-1998),Marvel Comics,71A,"November, 1993"
Fade Out (2014-2016),Image Comics,1A,"August, 2014"
Fantastic Four (1961-1996),Marvel Comics,49,"April, 1966"
Fantastic Four (1961-1996),Marvel Comics,65,"August, 1967"
Fantastic Four (1961-1996),Marvel Comics,77,"August, 1968"
Fantastic Four (1961-1996),Marvel Comics,113,"August, 1971"
Fantastic Four (1961-1996),Marvel Comics,355B,"August, 1991"
Fantastic Four (1961-1996),Marvel Comics,45,"December, 1965"
Fantastic Four (1961-1996),Marvel Comics,57,"December, 1966"
Fantastic Four (1961-1996),Marvel Comics,335A,"December, 1989"
Fantastic Four (1961-1996),Marvel Comics,47,"February, 1966"
Fantastic Four (1961-1996),Marvel Comics,59,"February, 1967"
Fantastic Four (1961-1996),Marvel Comics,83,"February, 1969"
Fantastic Four (1961-1996),Marvel Comics,46,"January, 1966"
Fantastic Four (1961-1996),Marvel Comics,58,"January, 1967"
Fantastic Four (1961-1996),Marvel Comics,118,"January, 1972"
Fantastic Four (1961-1996),Marvel Comics,52A,"July, 1966"
Fantastic Four (1961-1996),Marvel Comics,112,"July, 1971"
Fantastic Four (1961-1996),Marvel Comics,36,"March, 1965"
Fantastic Four (1961-1996),Marvel Comics,48A,"March, 1966"
Fantastic Four (1961-1996),Marvel Comics,60,"March, 1967"
Fantastic Four (1961-1996),Marvel Comics,120,"March, 1972"
Fantastic Four (1961-1996),Marvel Comics,122A,"May, 1972"
Fantastic Four (1961-1996),Marvel Comics,302B,"May, 1987"
Fantastic Four (1961-1996),Marvel Comics,Annual 3,"November, 1965"
Fantastic Four (1961-1996),Marvel Comics,Annual 5,"November, 1967"
Fantastic Four (1961-1996),Marvel Comics,Annual 6,"November, 1968"
Fantastic Four (1961-1996),Marvel Comics,19,"October, 1963"
Fantastic Four (1961-1996),Marvel Comics,67A,"October, 1967"
Fantastic Four (1961-1996),Marvel Comics,115,"October, 1971"
Fantastic Four (1961-1996),Marvel Comics,127,"October, 1972"
Fantastic Four (1961-1996),Marvel Comics,295B,"October, 1986"
Fantastic Four (1961-1996),Marvel Comics,66A,"September, 1967"
Fantastic Four (1961-1996),Marvel Comics,114,"September, 1971"
Fantastic Four (1998-2011),Marvel Comics,9,"September, 1998"
Fantastic Four (2012-2014),Marvel Comics,4A,"April, 2013"
Fantastic Four (2012-2014),Marvel Comics,13A,"December, 2013"
Fantastic Four (2012-2014),Marvel Comics,2A,"February, 2013"
Fantastic Four (2012-2014),Marvel Comics,15,"February, 2014"
Fantastic Four (2012-2014),Marvel Comics,1A,"January, 2013"
Fantastic Four (2012-2014),Marvel Comics,14,"January, 2014"
Fantastic Four (2012-2014),Marvel Comics,7,"July, 2013"
Fantastic Four (2012-2014),Marvel Comics,8,"July, 2013"
Fantastic Four (2012-2014),Marvel Comics,9A,"July, 2013"
Fantastic Four (2012-2014),Marvel Comics,6A,"June, 2013"
Fantastic Four (2012-2014),Marvel Comics,3A,"March, 2013"
Fantastic Four (2012-2014),Marvel Comics,16A,"March, 2014"
Fantastic Four (2012-2014),Marvel Comics,5.1AU,"May, 2013"
Fantastic Four (2012-2014),Marvel Comics,5A,"May, 2013"
Fantastic Four (2012-2014),Marvel Comics,11,"October, 2013"
Fantastic Four (2012-2014),Marvel Comics,12,"October, 2013"
Fantastic Four (2012-2014),Marvel Comics,10,"September, 2013"
Fantastic Four (2014-2015),Marvel Comics,643A,"April, 2015"
Fantastic Four (2014-2015),Marvel Comics,642A,"March, 2015"
Fantastic Four (2014-2015),Marvel Comics,644A,"May, 2015"
FF (2013-2014),Marvel Comics,4A,"April, 2013"
FF (2013-2014),Marvel Comics,8A,"August, 2013"
FF (2013-2014),Marvel Comics,13,"December, 2013"
FF (2013-2014),Marvel Comics,2A,"February, 2013"
FF (2013-2014),Marvel Comics,1A,"January, 2013"
FF (2013-2014),Marvel Comics,1B,"January, 2013"
FF (2013-2014),Marvel Comics,7,"July, 2013"
FF (2013-2014),Marvel Comics,6A,"June, 2013"
FF (2013-2014),Marvel Comics,3A,"March, 2013"
FF (2013-2014),Marvel Comics,5A,"May, 2013"
FF (2013-2014),Marvel Comics,12,"November, 2013"
FF (2013-2014),Marvel Comics,11,"October, 2013"
FF (2013-2014),Marvel Comics,9,"September, 2013"
FF (2013-2014),Marvel Comics,10,"September, 2013"
Firestorm (1978),DC Comics,1,"March, 1978"
Firestorm (1978),DC Comics,3,"May, 1978"
First X-Men (2012-2013),Marvel Comics,3A,"December, 2012"
First X-Men (2012-2013),Marvel Comics,4A,"January, 2013"
First X-Men (2012-2013),Marvel Comics,5A,"March, 2013"
First X-Men (2012-2013),Marvel Comics,2A,"November, 2012"
First X-Men (2012-2013),Marvel Comics,1A,"October, 2012"
Five Ghosts (2013-Present),Image Comics,1A,"March, 2013"
Five Weapons (2013-2014),Image Comics,1,"February, 2013"
Flash (1959-1985),DC Comics,175,"December, 1967"
Flash (1959-1985),DC Comics,340,"December, 1984"
Flash (1959-1985),DC Comics,293B,"January, 1981"
Flash (1959-1985),DC Comics,137,"June, 1963"
Flash (1959-1985),DC Comics,127,"March, 1962"
Flash (1959-1985),DC Comics,151,"March, 1965"
Flash (1959-1985),DC Comics,213,"March, 1972"
Flash (1959-1985),DC Comics,139,"September, 1963"
Flash (2011-2016) ,DC Comics,39C,"April, 2015"
Flash (2011-2016) ,DC Comics,23.2A,"November, 2013"
Flash (2011-2016) ,DC Comics,23.3A,"November, 2013"
Flash: Rebirth,DC Comics,6A,"April, 2010"
Flash: Rebirth,DC Comics,3A,"August, 2009"
Flash: Rebirth,DC Comics,3A,"August, 2009"
Flash: Rebirth,DC Comics,5A,"January, 2010"
Flash: Rebirth,DC Comics,2A,"July, 2009"
Flash: Rebirth,DC Comics,1A,"June, 2009"
Flash: Rebirth,DC Comics,4A,"October, 2009"
Flashpoint (2011),DC Comics,2A,"August, 2011"
Flashpoint (2011),DC Comics,1B,"July, 2011"
Flashpoint (2011),DC Comics,4A,"October, 2011"
Flashpoint (2011),DC Comics,5C,"October, 2011"
Flashpoint (2011),DC Comics,3A,"September, 2011"
Forever Evil (2013-2014),DC Comics,1I,"November, 2013"
Forever Evil (2013-2014),DC Comics,1A,"November, 2013"
Forever People (1971-1972),DC Comics,1,"March, 1971"
Friendly Neighborhood Spider-Man (2005-2007),Marvel Comics,1A,"December, 2005"
Friendly Neighborhood Spider-Man (2005-2007),Marvel Comics,3A,"February, 2006"
Friendly Neighborhood Spider-Man (2005-2007),Marvel Comics,2A,"January, 2006"
Friendly Neighborhood Spider-Man (2005-2007),Marvel Comics,4A,"March, 2006"
Further Adventures of Indiana Jones (1983-1986),Marvel Comics,33A,"January, 1986"
Fury of Firestorm (1982-1987),DC Comics,35,"May, 1985"
G.I. Joe (1982-1994),Marvel Comics,26B,"August, 1984"
G.I. Joe (1982-1994),Marvel Comics,27B,"September, 1984"
G.I. Joe: A Real American Hero (2010-Present),IDW Publishing,226B,"March, 2016"
G.I. Joe: A Real American Hero (2010-Present),IDW Publishing,219B,"November, 2015"
Ghosted (2013-2015),Image Comics,1A,"July, 2013"
Ghosts (1971-1982),DC Comics,101,"June, 1981"
Giant-Size Little Marvel: AvX (2015),Marvel Comics,1A,"August, 2015"
Giant-Size Little Marvel: AvX (2015),Marvel Comics,4,"November, 2015"
Giant-Size Little Marvel: AvX (2015),Marvel Comics,3A,"October, 2015"
Giant-Size Little Marvel: AvX (2015),Marvel Comics,2A,"September, 2015"
Giant-Size Spider-Man (1974-1975),Marvel Comics,4,"April, 1975"
Giant-Size Spider-Man (1974-1975),Marvel Comics,5,"July, 1975"
God Hates Astronauts (2013-Present),Image Comics,1A,"September, 2014"
God is Dead (2013-Present),Avatar Press,4A,"December, 2013"
God is Dead (2013-Present),Avatar Press,6A,"February, 2014"
God is Dead (2013-Present),Avatar Press,1E,"January, 2014"
God is Dead (2013-Present),Avatar Press,2E,"January, 2014"
God is Dead (2013-Present),Avatar Press,5A,"January, 2014"
God is Dead (2013-Present),Avatar Press,1G,"November, 2013"
God is Dead (2013-Present),Avatar Press,3A,"November, 2013"
God is Dead (2013-Present),Avatar Press,2B,"October, 2013"
God is Dead (2013-Present),Avatar Press,1A,"September, 2013"
God is Dead (2013-Present),Avatar Press,1B,"September, 2013"
Godzilla (1977-1979),Marvel Comics,1A,"August, 1977"
Godzilla: Kingdom of Monsters,IDW Publishing,1HU,"March, 2011"
Green Hornet (2013-2014),Dynamite Entertainment,1A,"March, 2013"
Green Lantern (1960-1986),DC Comics,45,"June, 1966"
Green Lantern (1960-1986),DC Comics,88,"March, 1972"
Green Lantern (1990-2004),DC Comics,13B,"June, 1991"
Green Lantern (2011-Present),DC Comics,Annual 1B,"December, 2012"
Green Lantern (2011-Present),DC Comics,20A,"June, 2013"
Green Lantern (2011-Present),DC Comics,Annual 1A,"October, 2012"
Green Lantern: Sinestro Corps Special,DC Comics,One-Shot A,"August, 2007"
Groot (2015-Present),Marvel Comics,1A,"August, 2015"
Guardians of Knowhere (2015),Marvel Comics,1A,"September, 2015"
Guardians of the Galaxy & X-Men: The Black Vortex - Alpha (2015),Marvel Comics,1A,"April, 2015"
Guardians of the Galaxy & X-Men: The Black Vortex Omega (2015),Marvel Comics,1A,"June, 2015"
Guardians of the Galaxy (2008-2010),Marvel Comics,2,"August, 2008"
Guardians of the Galaxy (2008-2010),Marvel Comics,1A,"July, 2008"
Guardians of the Galaxy (2013-2015),Marvel Comics,0.1A,"April, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,12A,"April, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,24A,"April, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,3A,"August, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,4A,"August, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,16,"August, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,7A,"December, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,20A,"December, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,9A,"February, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,10,"February, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,Annual 1A,"February, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,22,"February, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,8A,"January, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,21A,"January, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,15A,"July, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,27A,"July, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,2A,"June, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,14A,"June, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,11A,"March, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,23A,"March, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,1A,"May, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,1B,"May, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,13A,"May, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,25A,"May, 2015"
Guardians of the Galaxy (2013-2015),Marvel Comics,6A,"November, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,19,"November, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,18A,"October, 2014"
Guardians of the Galaxy (2013-2015),Marvel Comics,5A,"September, 2013"
Guardians of the Galaxy (2013-2015),Marvel Comics,17A,"September, 2014"
Guardians of the Galaxy (2015-Present),Marvel Comics,1A,"December, 2015"
Guardians of the Galaxy (2015-Present),Marvel Comics,1E,"December, 2015"
Guardians of the Galaxy (FCBD 2014),Marvel Comics,One-Shot,"May, 2014"
Guardians of the Galaxy: Tomorrow's Avengers (2013),Marvel Comics,1,"September, 2013"
